year,순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,RA,ER,WHIP
2021,1,LG,3.57,144,72,58,32,81,0.554,1272.3333333333333,1126,80,545,98,1068,561,505,1.31
2021,2,KT,3.67,144,76,59,33,74,0.563,1264.0,1176,86,489,42,1062,584,515,1.32
2021,3,두산,4.26,144,71,65,28,61,0.522,1269.3333333333333,1295,104,587,73,1045,656,601,1.48
2021,4,삼성,4.3,144,76,59,46,80,0.563,1259.0,1297,131,530,51,1038,658,601,1.45
2021,5,키움,4.31,144,70,67,30,56,0.511,1263.3333333333333,1281,101,566,80,900,700,605,1.46
2021,6,NC,4.54,144,67,68,33,80,0.496,1256.6666666666667,1268,125,592,77,1055,697,634,1.48
2021,7,한화,4.65,144,49,83,21,62,0.371,1258.6666666666667,1208,115,673,101,1011,739,650,1.49
2021,8,SSG,4.82,144,66,64,25,56,0.508,1276.6666666666667,1296,149,629,78,1012,741,684,1.51
2021,9,KIA,4.89,144,58,76,36,94,0.433,1269.0,1286,134,622,104,951,752,690,1.5
2021,10,롯데,5.37,144,65,71,37,76,0.478,1271.0,1333,133,659,87,1054,808,758,1.57
2022,1,LG,3.33,144,87,55,43,107,0.613,1288.0,1179,94,451,59,1031,521,476,1.27
2022,2,KT,3.51,144,80,62,37,65,0.563,1287.3333333333333,1243,92,364,63,1074,562,502,1.25
2022,3,키움,3.79,144,80,62,48,84,0.563,1296.3333333333333,1247,96,490,70,1010,610,546,1.34
2022,4,SSG,3.87,144,88,52,45,68,0.629,1301.3333333333333,1223,130,457,65,1023,622,560,1.29
2022,5,NC,3.9,144,67,74,25,54,0.475,1286.6666666666667,1230,111,515,98,1168,642,557,1.36
2022,6,KIA,4.2,144,70,73,38,74,0.49,1279.6666666666667,1286,120,526,67,1042,679,597,1.42
2022,7,삼성,4.29,144,66,76,34,71,0.465,1287.0,1370,129,478,66,971,695,613,1.44
2022,8,두산,4.45,144,60,82,32,68,0.423,1279.3333333333333,1336,117,555,70,977,721,632,1.48
2022,9,롯데,4.45,144,64,76,34,69,0.457,1280.6666666666667,1373,84,492,80,1199,712,633,1.46
2022,10,한화,4.83,144,46,96,25,81,0.324,1268.3333333333333,1314,112,602,83,974,759,680,1.51
2023,1,LG,3.67,144,86,56,37,92,0.606,1293.3333333333333,1266,74,491,76,977,610,527,1.36
2023,2,NC,3.83,144,75,67,33,88,0.528,1281.3333333333333,1160,99,513,62,1090,617,545,1.31
2023,3,두산,3.92,144,74,68,41,70,0.521,1284.6666666666667,1245,90,501,82,1013,625,560,1.36
2023,4,KT,3.94,144,79,62,39,61,0.56,1287.0,1326,83,413,50,968,616,564,1.35
2023,5,KIA,4.13,144,73,69,33,66,0.514,1269.0,1244,89,564,59,980,650,583,1.42
2023,6,롯데,4.15,144,68,76,35,82,0.472,1272.3333333333333,1328,80,532,82,1070,660,586,1.46
2023,7,SSG,4.37,144,76,65,46,71,0.539,1288.3333333333333,1354,104,612,67,974,698,626,1.53
2023,8,한화,4.38,144,58,80,20,68,0.42,1291.6666666666667,1292,101,518,103,1037,708,628,1.4
2023,9,키움,4.42,144,58,83,33,61,0.411,1288.3333333333333,1340,84,532,63,962,710,632,1.45
2023,10,삼성,4.6,144,61,82,38,69,0.427,1278.3333333333333,1414,120,464,52,899,728,654,1.47
2024,1,KIA,4.4,144,87,55,44,89,0.613,1288.0,1365,141,539,85,1125,759,629,1.48
2024,2,LG,4.63,144,76,66,34,65,0.535,1277.0,1375,126,529,80,1082,728,657,1.49
2024,3,삼성,4.68,144,78,64,41,116,0.549,1282.6666666666667,1384,164,477,81,980,719,667,1.45
2024,4,두산,4.82,144,74,68,41,87,0.521,1283.6666666666667,1332,135,585,92,1083,748,688,1.49
2024,5,한화,4.98,144,66,76,26,68,0.465,1274.6666666666667,1437,128,511,76,1130,780,706,1.53
2024,6,NC,5.0,144,61,81,22,65,0.43,1275.6666666666667,1389,137,531,67,1061,801,708,1.51
2024,7,롯데,5.05,144,66,74,30,58,0.471,1280.6666666666667,1442,139,523,75,1131,791,719,1.53
2024,8,KT,5.11,144,72,70,28,50,0.507,1284.3333333333333,1448,155,443,65,1118,804,729,1.47
2024,9,키움,5.16,144,58,86,23,48,0.403,1272.6666666666667,1416,150,497,88,921,796,729,1.5
2024,10,SSG,5.25,144,72,70,33,80,0.507,1269.6666666666667,1341,163,630,74,1195,814,740,1.55
2025,1,한화,3.55,144,83,57,41,57,0.593,1290.3333333333333,1185,102,450,93,1339,554,509,1.27
2025,2,SSG,3.63,144,75,65,36,102,0.536,1283.3333333333333,1164,115,510,78,1193,576,517,1.3
2025,3,LG,3.79,144,85,56,42,77,0.603,1279.3333333333333,1236,91,491,62,1080,584,539,1.35
2025,4,KT,4.09,144,71,68,37,60,0.511,1278.3333333333333,1362,112,433,58,1067,657,581,1.4
2025,5,삼성,4.12,144,74,68,25,76,0.521,1268.6666666666667,1257,132,455,70,1048,647,581,1.35
2025,6,두산,4.3,144,61,77,29,69,0.442,1280.0,1227,109,542,99,1054,686,612,1.38
2025,7,KIA,4.66,144,65,75,30,82,0.464,1274.6666666666667,1316,110,511,84,1058,734,660,1.43
2025,8,롯데,4.75,144,66,72,36,69,0.478,1280.0,1351,128,560,73,1173,749,676,1.49
2025,9,NC,4.82,144,71,67,39,103,0.514,1270.0,1279,146,621,97,1075,766,680,1.5
2025,10,키움,5.39,144,47,93,31,55,0.336,1269.0,1447,146,550,92,937,860,760,1.57
