Year,Team,PA,AB,H,BB,HBP,SF,SO,wRCxPA,OBP,BB_HBP_PA,SO_PA,wRC+_PAw,is_champ
2021,KIA,5577,4831,1198,595,73,37,921,478982.9,0.3370664739884393,0.1197776582391967,0.16514254975793438,85.8854043392505,False
2021,KT,5626,4810,1276,644,58,44,1047,572803.8,0.3560115190784737,0.12477781727692855,0.18610024884464985,101.8136864557412,True
2021,LG,5533,4750,1188,592,94,45,926,560619.1,0.3419084108739281,0.12398337249231882,0.16735947948671606,101.32280860292788,False
2021,NC,5530,4806,1254,511,111,43,1093,574142.7,0.3428989215865472,0.11247739602169982,0.19764918625678118,103.82327305605786,False
2021,SSG,5735,4898,1278,636,94,52,1055,627435.3,0.35352112676056335,0.12728857890148212,0.1839581517000872,109.4045858761988,False
2021,두산,5645,4900,1314,560,86,53,943,617927.7,0.35006251116270765,0.11443755535872453,0.1670504871567759,109.46460584588131,False
2021,롯데,5726,5009,1393,579,54,46,969,585514.9,0.35618846694796064,0.11054837582954942,0.16922808243101642,102.2554837582955,False
2021,삼성,5552,4836,1292,545,55,68,902,544029.3,0.34375,0.10806916426512968,0.16246397694524495,97.9879863112392,False
2021,키움,5653,4874,1262,595,93,56,1053,573746.8,0.34709861160555355,0.12170528922695914,0.18627277551742438,101.49421546081727,False
2021,한화,5495,4685,1111,633,74,49,1286,485317.9,0.33412975555963975,0.1286624203821656,0.2340309372156506,88.31990900818927,False
2022,KIA,5703,5000,1361,542,63,36,983,638607.4,0.34851976599893636,0.10608451692091882,0.17236542170787306,111.97745046466773,False
2022,KT,5547,4864,1237,519,49,44,1183,520285.2,0.3296201607012418,0.1023976924463674,0.21326843338741663,93.79578150351541,False
2022,LG,5626,4926,1325,501,103,46,924,651187.4,0.34594691535150646,0.10735869178812656,0.16423746889441876,115.7460718094561,False
2022,NC,5585,4899,1260,501,88,47,981,549024.2,0.33405600722673895,0.10546105640107431,0.1756490599820949,98.30334825425246,False
2022,SSG,5642,4893,1245,530,95,47,1075,581804.7,0.3360287511230907,0.11077632045373981,0.19053527118043248,103.12029422190712,True
2022,두산,5510,4891,1249,450,71,45,1007,535272.1,0.3243540406816932,0.09455535390199638,0.18275862068965518,97.14557168784029,False
2022,롯데,5534,4948,1320,417,54,42,991,522945.9,0.32796191173777695,0.08511022768341164,0.17907481026382363,94.49691001084207,False
2022,삼성,5647,5023,1358,446,54,41,1029,553225.7,0.3339324227174694,0.08854258898530193,0.18222064813175137,97.96807154241189,False
2022,키움,5655,4953,1250,527,92,34,1032,563777.2,0.3333927934356047,0.10946065428824049,0.18249336870026525,99.69534924845269,False
2022,한화,5513,4878,1196,497,52,40,1264,485482.9,0.319187854399122,0.09958280428079086,0.2292762561218937,88.06147288227825,False
2023,KIA,5607,4954,1365,500,46,44,957,608423.6,0.3446969696969697,0.09737827715355805,0.17067950775815943,108.51143213839843,False
2023,KT,5649,4973,1316,524,48,47,1074,537077.9,0.3376251788268956,0.10125685962117188,0.19012214551248008,95.07486280757657,False
2023,LG,5687,4881,1364,583,73,55,804,674266.1,0.36123032904148783,0.11535080007033585,0.14137506593986285,118.56270441357482,True
2023,NC,5605,4894,1321,493,100,55,1005,593332.2,0.34536268495128114,0.10579839429081178,0.1793041926851026,105.85766280107046,False
2023,SSG,5630,4923,1279,507,78,45,943,563436.7,0.3356744102287052,0.10390763765541741,0.1674955595026643,100.07756660746003,False
2023,두산,5538,4859,1238,505,76,41,975,561857.1,0.33187374566684913,0.10491152040447815,0.176056338028169,101.45487540628385,False
2023,롯데,5576,4871,1289,522,51,57,1000,524950.3,0.3384839120159971,0.10276183644189384,0.1793400286944046,94.14460186513631,False
2023,삼성,5580,4911,1290,487,62,43,954,526233.8,0.334181355624205,0.09838709677419355,0.17096774193548386,94.30713261648746,False
2023,키움,5729,5062,1323,484,74,58,1096,529965.2,0.331278619232124,0.09739919706755105,0.19130738348751963,92.50570780240879,False
2023,한화,5628,4906,1184,535,88,40,1162,502907.9,0.3244747710540492,0.11069651741293532,0.2064676616915423,89.35819118692254,False
2024,KIA,5812,5124,1542,529,59,53,915,667807.6,0.36947094535993064,0.10116999311768754,0.15743289745354438,114.90151410874053,True
2024,KT,5808,5072,1413,580,49,45,1123,572334.8,0.35537765402018795,0.10829889807162535,0.19335399449035812,98.54249311294767,False
2024,LG,5723,4917,1394,616,71,73,968,624620.9,0.3665668486876872,0.12004193604752753,0.16914205836099946,109.14221562117771,False
2024,NC,5757,5009,1371,513,128,57,1200,603910.2,0.35254950061328194,0.11134271321869028,0.20844189682126107,104.90015633142261,False
2024,SSG,5646,5000,1367,470,77,48,1094,524517.0,0.3420911528150134,0.09688274884874247,0.19376549769748494,92.90063761955366,False
2024,두산,5679,4974,1375,510,81,59,1076,586122.9,0.34957325746799434,0.10406761753829899,0.18946997710864588,103.20882197569995,False
2024,롯데,5766,5110,1454,494,68,57,1079,565433.7,0.3518938732763135,0.09746791536593825,0.18713146028442595,98.06342351716961,False
2024,삼성,5697,4975,1336,531,87,47,1150,546243.1,0.34645390070921983,0.10847814639283834,0.20186062840091276,95.88258732666316,False
2024,키움,5532,4896,1306,475,75,49,1077,503201.9,0.337761601455869,0.09942154736080984,0.19468546637744036,90.96202096890818,False
2024,한화,5702,5005,1351,530,85,40,1077,533652.8,0.3473498233215548,0.10785689231848475,0.18888109435285866,93.590459487899,False
2025,KIA,5618,4943,1276,526,67,39,1210,584712.7,0.33524663677130045,0.10555357778568886,0.21537913848344606,104.07844428622285,False
2025,KT,5588,4845,1228,555,80,43,1044,529263.6,0.3373166757197175,0.11363636363636363,0.18682891911238367,94.71431639226914,False
2025,LG,5711,4918,1366,603,68,59,975,677724.6,0.3606586402266289,0.11749255822097707,0.1707231658203467,118.67004027315706,True
2025,NC,5563,4810,1254,504,136,51,1087,579201.6,0.3443010361752409,0.11504583857630775,0.1953981664569477,104.11677152615495,False
2025,SSG,5517,4875,1249,493,60,37,1159,505991.8,0.3297346752058554,0.10023563530904477,0.2100779409099148,91.71502628239985,False
2025,두산,5581,4952,1298,469,65,42,1169,552680.2,0.3314037626628075,0.0956817774592367,0.20946067013080094,99.0288837125963,False
2025,롯데,5682,4944,1318,530,91,45,1030,545571.6,0.34563279857397505,0.10929250263991552,0.1812741992256248,96.01752903907075,False
2025,삼성,5671,4899,1330,564,86,55,1087,613963.2,0.3533190578158458,0.11461823311585258,0.19167695291835654,108.2636572033151,False
2025,키움,5492,4921,1200,437,63,33,1214,489148.6,0.3116978364503117,0.09104151493080845,0.2210487982520029,89.0656591405681,False
2025,한화,5547,4892,1303,439,90,46,1038,551317.2,0.33510151820010975,0.09536686497205697,0.18712817739318552,99.39015684153595,False
