Team,Off_Score,Pit_Score,OBP_diff,R_PA_diff,SO_PA_diff,FIP_diff,ERA_diff,HR_9_diff,Typology
LG,0.898093844939865,0.6682090370948159,-0.0014178081296746692,-0.0033132646352983823,-0.006665882147298474,-0.19368363922877255,-0.10103877147956349,-0.07695424761307942,Balanced Strong
KIA,0.32451493390491076,-0.12360845837975457,-0.00967987860280708,-0.010356283452984779,0.006966573184424207,-0.18172939947138733,0.573307327225886,0.1079832046966733,Offense-driven
SSG,0.2969535612826271,-0.349966583790399,-0.017270013739276734,-0.011164893516554053,0.019933154350349525,120.2468976609412,0.48303370980699495,0.1979045390339759,Offense-driven
NC,0.2847796141176805,0.003886323083501875,-0.01284640685530435,-0.009256003732628545,0.02205517059267026,-0.1938405912908417,0.5219810816257628,0.14328606959639933,Balanced Strong
삼성,0.18200293923200053,-0.17248828223152235,-0.014352689592574342,-0.00888813283215566,0.012604659818582647,0.10323774545604358,0.4963683291405497,0.22456887419680874,Offense-driven
KT,-0.03509221464750031,0.6157082626865006,-0.013489799296619042,-0.01347039282764532,0.024701418421690425,-0.8289744124338562,0.16581235373515266,0.010659765817958512,Pitching-driven
두산,-0.1710563133537339,0.113475460784728,-0.019226573437512006,-0.012509479219654038,0.015725888775042145,-0.3466860811355252,0.44203885710900315,0.05113740573006054,Pitching-driven
롯데,-0.18156032106477882,-0.248284308655457,-0.012647844455517731,-0.012954653600198823,0.009976386332091863,68.456405087075,0.874242182685462,0.06290290364937796,Overall Weak
한화,-0.7383749401197249,-0.1257351329295866,-0.024631292459027267,-0.0204776384668169,0.039923495507258946,18.43615232858278,0.5685765926726171,0.05816728281864918,Overall Weak
키움,-0.860261104291346,-0.3811963176628268,-0.02443414453002978,-0.02156979809073114,0.025928228619163267,0.15866979598543834,0.7139667715729618,0.08165078424776592,Overall Weak
